Year;Share;City;
2015;26.41;Zuerich;
2016;26.92;Zuerich;
2017;27.37;Zuerich;
2018;27.82;Zuerich;
2019;28.25;Zuerich;
2020;28.67;Zuerich;
2021;29.08;Zuerich;
2022;29.48;Zuerich;
2023;29.87;Zuerich;
2024;30.26;Zuerich;
2025;30.64;Zuerich;
2026;31.02;Zuerich;
2027;31.39;Zuerich;
2028;31.76;Zuerich;
2029;32.13;Zuerich;
2030;32.49;Zuerich;
2031;32.84;Zuerich;
2032;33.17;Zuerich;
2033;33.46;Zuerich;
2034;33.71;Zuerich;
2035;33.92;Zuerich;
2036;34.09;Zuerich;
2037;34.22;Zuerich;
2038;34.31;Zuerich;
2039;34.39;Zuerich;
2040;34.45;Zuerich;
2041;34.51;Zuerich;
2042;34.56;Zuerich;
2043;34.61;Zuerich;
2044;34.66;Zuerich;
2045;34.71;Zuerich;
2015;15.5;Bern;
2016;15.93;Bern;
2017;16.32;Bern;
2018;16.71;Bern;
2019;17.09;Bern;
2020;17.46;Bern;
2021;17.82;Bern;
2022;18.18;Bern;
2023;18.53;Bern;
2024;18.87;Bern;
2025;19.22;Bern;
2026;19.55;Bern;
2027;19.89;Bern;
2028;20.22;Bern;
2029;20.55;Bern;
2030;20.88;Bern;
2031;21.2;Bern;
2032;21.5;Bern;
2033;21.78;Bern;
2034;22.04;Bern;
2035;22.26;Bern;
2036;22.46;Bern;
2037;22.63;Bern;
2038;22.78;Bern;
2039;22.91;Bern;
2040;23.03;Bern;
2041;23.15;Bern;
2042;23.27;Bern;
2043;23.38;Bern;
2044;23.48;Bern;
2045;23.59;Bern;
2015;17.97;Luzern;
2016;18.31;Luzern;
2017;18.62;Luzern;
2018;18.92;Luzern;
2019;19.23;Luzern;
2020;19.54;Luzern;
2021;19.85;Luzern;
2022;20.15;Luzern;
2023;20.46;Luzern;
2024;20.76;Luzern;
2025;21.06;Luzern;
2026;21.36;Luzern;
2027;21.65;Luzern;
2028;21.94;Luzern;
2029;22.23;Luzern;
2030;22.52;Luzern;
2031;22.8;Luzern;
2032;23.06;Luzern;
2033;23.3;Luzern;
2034;23.51;Luzern;
2035;23.68;Luzern;
2036;23.83;Luzern;
2037;23.95;Luzern;
2038;24.04;Luzern;
2039;24.12;Luzern;
2040;24.18;Luzern;
2041;24.25;Luzern;
2042;24.32;Luzern;
2043;24.37;Luzern;
2044;24.43;Luzern;
2045;24.49;Luzern;
2015;35.79;Basel;
2016;36.64;Basel;
2017;37.42;Basel;
2018;38.17;Basel;
2019;38.91;Basel;
2020;39.61;Basel;
2021;40.3;Basel;
2022;40.97;Basel;
2023;41.62;Basel;
2024;42.25;Basel;
2025;42.88;Basel;
2026;43.49;Basel;
2027;44.08;Basel;
2028;44.66;Basel;
2029;45.22;Basel;
2030;45.77;Basel;
2031;46.3;Basel;
2032;46.78;Basel;
2033;47.2;Basel;
2034;47.57;Basel;
2035;47.87;Basel;
2036;48.12;Basel;
2037;48.31;Basel;
2038;48.46;Basel;
2039;48.58;Basel;
2040;48.69;Basel;
2041;48.81;Basel;
2042;48.92;Basel;
2043;49.02;Basel;
2044;49.14;Basel;
2045;49.24;Basel;
